make_time,day_part,inhopper,stuffed_crust,product_line,quantity_sold,is_plan_ahead
12.35,4,2,0,Extra,1,0
12.35,4,3,0,Side,1,0
12.35,4,4,0,Side,1,0
12.35,4,5,0,Pizza,1,0
11.817,2,1,0,Dessert,1,0
11.817,2,2,0,Pizza,1,0
15.717,1,1,0,Beverage,1,0
15.717,1,2,0,Beverage,1,0
15.717,1,3,0,Side,1,0
15.717,1,4,0,Side,1,0
15.717,1,5,0,Side,1,0
15.717,1,6,0,Pizza,1,0
15.717,1,7,0,Pizza,1,0
15.717,1,8,0,Pizza,1,0
15.717,1,9,0,Dessert,1,0
8.883,4,1,0,Side,1,0
8.883,4,2,0,Pizza,1,0
16.417,4,1,0,Side,1,0
16.417,4,2,0,Pizza,1,0
16.417,4,3,0,Pizza,1,0
30.867,Morning,1,1,Pizza,1,1
16.95,4,1,0,Dessert,1,0
16.95,4,2,0,Sandwich,1,0
16.95,4,3,0,Sandwich,1,0
16.95,4,4,0,Sandwich,1,0
21.017,3,1,0,Pizza,1,0
21.017,3,2,0,Pizza,1,0
7.9,1,1,0,Extra,4,0
7.9,1,2,0,Pizza,1,0
7.9,1,3,0,Pizza,1,0
8.517,4,1,0,Sandwich,1,0
14.167,1,1,0,Extra,2,0
14.167,1,2,0,Pizza,1,0
10.783,4,1,0,Dessert,1,0
10.783,4,2,0,Side,1,0
10.783,4,3,0,Pizza,1,0
10.783,4,4,0,Pizza,1,0
6.467,4,1,0,Sandwich,1,0
6.467,4,2,0,Sandwich,1,0
12.333,1,1,0,Pizza,1,0
12.333,1,2,0,Extra,1,0
12.333,1,3,0,Side,1,0
12.333,1,4,0,Pizza,1,0
8.483,4,1,0,Extra,1,0
8.483,4,2,0,Side,1,0
8.483,4,3,0,Pizza,1,0
11.517,4,1,0,Pizza,1,0
11.517,4,2,0,Pizza,1,0
11.517,4,3,0,Pizza,1,0
8.867,4,1,0,Pizza,1,0
8.867,4,2,0,Pizza,1,0
14.15,3,1,0,Side,1,0
14.15,3,2,0,Pizza,1,0
19.683,3,3,0,Beverage,1,0
19.683,3,4,0,Side,1,0
19.683,3,5,0,Pizza,1,0
19.683,3,6,0,Dessert,1,0
18.65,4,1,0,Sandwich,1,0
18.65,4,2,0,Pizza,1,0
18.65,4,3,0,Dessert,1,0
13.95,2,1,0,Sandwich,1,0
8.617,4,1,0,Sandwich,1,0
8.617,4,2,0,Extra,3,0
8.617,4,3,0,Pizza,1,0
10.867,5,1,0,Beverage,1,0
10.867,5,2,0,Side,1,0
10.867,5,3,0,Side,1,0
10.867,5,4,0,Pizza,1,0
7.95,2,1,0,Pizza,1,0
7.95,2,2,0,Extra,1,0
8.65,1,1,0,Pizza,1,0
11.417,4,2,0,Pizza,1,0
11.417,4,3,0,Pizza,1,0
11.417,4,4,0,Pizza,1,0
11,3,1,0,Pizza,1,0
8.317,4,1,0,Side,1,0
17.25,4,1,0,Pizza,1,0
17.25,4,2,0,Pizza,1,0
8.733,2,1,0,Side,1,0
8.733,2,2,0,Pizza,1,0
26.483,4,1,0,Pizza,1,0
26.483,4,2,0,Pizza,1,0
13.967,3,1,0,Pizza,1,0
13.967,3,2,0,Side,1,0
13.967,3,3,0,Extra,1,0
17.217,1,1,0,Side,1,0
17.217,1,2,0,Extra,1,0
17.217,1,3,0,Pizza,1,0
27.017,4,1,1,Pizza,1,0
27.017,4,2,0,Side,1,0
27.017,4,3,0,Extra,2,0
27.017,4,4,0,Extra,2,0
27.017,4,5,0,Sandwich,1,0
27.017,4,6,0,Extra,1,0
11.833,4,1,0,Pizza,1,0
11.833,4,2,0,Pizza,1,0
11.833,4,3,0,Side,1,0
11.833,4,4,0,Extra,1,0
9.917,4,1,1,Pizza,1,0
9.917,4,2,0,Side,2,0
9.917,4,3,0,Extra,2,0
9.117,1,1,0,Pizza,1,0
9.117,1,2,0,Side,1,0
11.35,4,1,0,Sandwich,1,0
11.35,4,2,0,Sandwich,1,0
11.35,4,3,0,Pizza,1,0
11.35,4,4,0,Pizza,1,0
11.35,4,5,0,Dessert,1,0
11.35,4,6,0,Side,1,0
15.017,4,1,1,Pizza,1,0
15.017,4,2,0,Pizza,1,0
10.067,4,1,0,Pizza,1,0
10.067,4,2,1,Pizza,1,0
10.067,4,3,0,Side,1,0
10.067,4,4,0,Beverage,1,0
10.067,4,5,0,Sandwich,1,0
16.667,4,1,0,Pizza,1,0
16.667,4,2,0,Side,1,0
9.883,4,1,0,Pizza,1,0
22.967,1,1,0,Pizza,1,0
10.033,4,2,0,Pizza,1,0
10.033,4,3,0,Pizza,1,0
24.8,4,1,0,Pizza,1,0
24.8,4,2,0,Pizza,1,0
10.05,3,1,0,Pizza,1,0
10.05,3,2,0,Dessert,1,0
10.05,3,3,0,Side,1,0
9.983,3,4,0,Pizza,1,0
9.983,3,5,0,Side,1,0
9.983,3,6,0,Side,1,0
13.783,1,1,0,Pizza,1,0
13.783,1,2,0,Pizza,1,0
19.483,4,1,0,Pizza,1,0
19.483,4,2,0,Beverage,1,0
8.85,4,1,1,Pizza,1,0
8.85,4,2,0,Pizza,1,0
8.85,4,3,0,Side,1,0
8.85,4,4,0,Extra,3,0
8.85,4,5,0,Extra,1,0
8.85,4,6,0,Extra,3,0
46.533,3,1,0,Non-Edible,1,0
46.533,3,2,1,Pizza,1,0
46.533,3,3,0,Side,1,0
11.25,4,1,0,Pizza,1,0
11.25,4,2,0,Pizza,1,0
11.25,4,3,0,Pizza,1,0
11.9,4,1,0,Pizza,1,0
10.567,4,1,0,Pizza,1,0
10.567,4,2,0,Pizza,1,0
17,1,1,0,Pizza,1,0
9.683,3,1,0,Beverage,1,0
9.683,3,2,0,Extra,1,0
9.683,3,3,0,Pizza,1,0
7.9,1,1,0,Pizza,1,0
7.9,1,2,0,Pizza,1,0
0,2,1,0,Pizza,1,1
0,2,2,0,Side,1,1
25.167,3,1,0,Beverage,1,0
25.167,3,2,0,Extra,1,0
25.167,3,3,0,Pizza,1,0
25.167,3,4,0,Pizza,1,0
12.3,4,1,0,Pizza,1,0
12.833,1,1,0,Pizza,1,0
12.833,1,2,0,Pizza,1,0
9.267,1,1,0,Pizza,1,0
9.267,1,2,0,Pizza,1,0
11.467,4,1,0,Pizza,1,0
15.733,4,1,0,Side,1,0
15.733,4,2,0,Pizza,1,0
14.067,1,1,0,Dessert,1,0
14.067,1,2,0,Pizza,1,0
5.75,1,1,0,Beverage,1,0
5.75,1,2,0,Pizza,1,0
8.467,4,1,0,Side,1,0
8.467,4,2,0,Pizza,1,0
11.317,4,1,0,Pizza,1,0
9.483,3,1,0,Pizza,1,0
9.483,3,2,0,Beverage,1,0
10.117,1,1,0,Pizza,1,0
15.567,4,1,0,Side,1,0
15.567,4,2,0,Pizza,1,0
15.567,4,3,0,Pizza,1,0
15.567,4,4,0,Side,1,0
10.9,1,1,0,Pizza,1,0
10.9,1,2,0,Pizza,1,0
11.95,4,1,0,Pizza,1,0
11.95,4,2,0,Side,1,0
15.333,2,1,0,Side,1,0
15.333,2,2,0,Pizza,1,0
14.4,4,1,0,Pizza,1,0
9.4,4,1,0,Beverage,1,0
9.4,4,2,0,Dessert,1,0
11.317,1,1,0,Pizza,1,0
11.317,1,2,0,Pizza,1,0
11.317,1,3,0,Pizza,1,0
10.5,1,1,0,Pizza,1,0
9.433,3,1,0,Pizza,1,0
8.1,2,1,1,Pizza,1,0
8.1,2,2,0,Beverage,1,0
8.067,4,1,0,Pizza,1,0
7.117,1,1,0,Pizza,1,0
12.05,2,1,0,Pizza,1,0
11.717,4,1,0,Pizza,1,0
11.717,4,2,0,Pizza,1,0
9.933,1,1,0,Pizza,1,0
9.933,1,2,0,Pizza,1,0
10.65,4,1,0,Extra,2,0
10.65,4,2,0,Dessert,1,0
10.65,4,3,0,Side,1,0
10.65,4,4,0,Pizza,1,0
11.467,2,1,0,Dessert,1,0
11.467,2,2,0,Side,1,0
10.9,2,1,0,Beverage,1,0
10.9,2,2,0,Pizza,1,0
10.9,2,3,0,Dessert,1,0
9.517,1,1,0,Pizza,1,0
9.517,1,2,0,Pizza,1,0
16.667,4,1,0,Beverage,1,0
16.667,4,2,0,Pizza,1,0
10.383,3,1,0,Pizza,1,0
12.25,1,1,0,Pizza,1,0
12.25,1,2,0,Side,1,0
12.25,1,3,0,Side,1,0
12.2,4,1,0,Pizza,1,0
7.333,1,1,0,Pizza,1,0
7.333,1,2,0,Pizza,1,0
7.333,1,3,0,Side,1,0
15.117,3,1,0,Pizza,1,0
8.217,4,1,0,Pizza,1,0
8.217,4,2,0,Side,1,0
8.217,4,3,0,Extra,2,0
7.317,2,1,0,Pizza,1,0
10.65,3,1,0,Pizza,1,0
10.65,3,2,0,Side,1,0
10.65,3,3,0,Side,1,0
6.6,2,1,0,Pizza,1,0
0,2,1,0,Beverage,1,0
31.9,4,1,0,Pizza,1,0
31.9,4,2,0,Pizza,1,0
11.433,1,1,0,Pizza,1,0
11.433,1,2,0,Pizza,1,0
10.733,2,1,0,Pizza,1,0
